question,answer
habari,"Salama karibu nikuhudumie"
Hi!,"Hi, your welcome"
HOW to reveal THE RELEVANCY OF FACTS about evidence in the courts,"1. Evidence may be given of facts in issue and relevant facts.    2. Existence of course of business when relevant. 3.Facts bearing on question whether act was accidental or intentional. 4.Facts showing existence of state of mind or of body, or of bodily feeling. 5. Facts which are the occasion, cause or effect of facts in issue. 6.Motive, preparation and previous or subsequent conduct. 7.Facts necessary to explain or introduce relevant facts. 8. Things said or done by conspirator in reference to common
design: 9. When facts not otherwise relevant become relevant. 10. In suits for damages, facts tending to enable court to determine
amount are relevant.                                                                                                                                                                                                                                                                                                                                              7. Subject to the provisions of any other law, evidence may be given
in any suit or proceeding of the existence or non-existence of every fact
in issue, and of such other facts as are hereinafter declared to be
Evidence may
be given
of facts in
issue and
relevant facts relevant, and of no others. 8. Facts which, though not in issue, are so connected with a fact
in issue as to form part of the same transaction are relevant, whether
they occurred at the same time and place or at different times and
places.
9. Facts which are the occasion, cause or effect, immediate or other
wise, of relevant facts, or facts in issue, or which constitute the state of
things under which they happened, or which afforded an opportunity
for their occurrence or transaction, are relevant.
10. (1) Any fact is relevant which shows or constitutes a motive
or preparation for any fact in issue or relevant fact.
(2) The conduct of any party, or of any agent of any party, to any
suit or proceeding, in reference to such suit or proceeding, or in
reference to any fact in issue therein or relevant thereto, and the
conduct of any person an offence against whom is the subject of any
proceeding, is relevant, if such conduct influences or is influenced by
any fact in issue or relevant fact, and whether it was previous or
subsequent thereto.
(3) When the conduct of any person is relevant, any statement made
to him or in his presence and hearing which affects such conduct is
relevant.
(4) The word ''conduct"" in this section does not include statements,
unless those statements accompany and explain acts other than statements;
but this provision shall not affect the relevancy of statements
under any other section of this Act.
11. Facts necessary to explain or introduce a fact in issue or relevant
fact, or which support or rebut an inference suggested by a fact in
issue or relevant fact, or which establish the identity of any thing or
person whose identity is relevant, or fix the time or place at which any
fact in issue or relevant fact happened, or which show the relation of
parties by whom any such fact was transacted, are relevant m so far as
they are necessary for that purpose.
12. Where there is reasonable ground to believe that two or more
persons have conspired together to commit an offence or an actionable
wrong, anything said, done or written by any one of such persons
referring to or in execution or furtherance of their common intention, to common
after the time when such intention was first entertained by any one
of them, is a relevant fact as against each of the persons believed to
be so conspiring, as well for the purpose of proving the existence of the
conspiracy as for the purpose of showing that any such person was a
party to it.
13. Facts not otherwise relevant are relevant-
(a) if they are inconsistent with any fact in issue or relevant
fact; or
(b) if by themselves or in connection with other facts they make the
existence or non-existence of any fact m issue or relevant fact
highly probable or improbable.
Relevancy of
facts forming
part of same
transaction
Facts which
are the
occasion
cause or effect
of facts in
issue
Motive,
preparation
and previous
or subsequent
conduct
Facts
necessary
to explain or
introduce
relevant facts
Things said
or done by
conspirator
in reference
design
When facts
not otherwise
relevant
become
relevant. 14. In suits in which damages are claimed, any fact which will enable
the court to determine the amount of damages which ought to be
awarded is relevant.
In suits for
damages,
facts
tending to
enable court
to determine
amount are
relevant
15. Where the existence of any right or custom is in question, the
following facts are relevant-
(a) any transaction by which the right or custom in question was
created, claimed, modified, recognized, asserted or denied, or
which was inconsistent with its existence;
(b) particular instances in which the right or custom was claimed,
recognized or exercised, or in which its exercise was disputed,
asserted or departed from.
16-.(I) Facts showing the existence of any state of mind, such as
intention, knowledge, good faith, negligence, rashness, ill-will or goodwill
towards any particular person, or showing the existence of any state
or of bodily of body or bodily feeling, are relevant, when the existence of any such
state of mind or body or bodily feeling is in issue or relevant.
(2) A fact relevant within the meaning of subsection (1) as showing
the existence of a relevant state of mind must show that the state of
mind exists, not generally, but m reference to the particular matter in
question.
(3) Where, upon the trial of a person accused of an offence, the
previous commission by the accused of an offence is relevant within
the meaning of subsection (1), the previous conviction of such person
shall also be a relevant fact.
17. When there is a question whether an act was accidental or
intentional, or done with a particular knowledge or intention, the
fact that such act formed part of a series of similar occurrences, in
each of which the person doing the act was concerned, is relevant.
18. When there is a question whether a particular act was done,
the existence of any course of business, according to which it naturally
would have been done, is a relevant fact."
 ADMISSIONS of evidence given in the courts,"a. Admission defined. B. Statements by party to suit or agent or interested party. C.  Admissions by persons whose position must be proved as
against party to suit. D.Admissions by persons expressly referred to by party to suit. e. Proof of admissions against persons making them, and by or
on their behalf. f. Oral admissions as to contents of documents. g. Admissions made without prejudice in civil cases. h. Admissions not conclusive proof, but may estop.                                                                                                                                                                                                                                                                                                                                                                                          19. An admission is a statement, oral or documentary, which suggests
any inference as to a fact in issue or relevant fact, and which is made
by any of the persons, and m the circumstances, hereinafter mentioned. (3) Statements made by-
(a) persons who have any proprietary or pecuniary interest in the
subject matter of the proceeding, and who make the statement in
their character of persons so interested; or
(b) persons from whom the parties to the suit have derived their
interest in the subject matter of the suit,
are admissions if they are made during the continuance of the interest
of the persons making the statements.
21. Statements made by persons whose position or liability it is
necessary to prove as against any party to the suit are admissions, if
such statements would be relevant as against such persons in relation
to such position or liability in a suit brought by or against them, and
they are made whilst the person making them occupies such position or to
is subject to such liability.
22. Statements made by persons to whom a party to, the suit has
expressly referred for information in reference to a matter in dispute, expressly
are admissions.
23. Admissions are relevant and may be proved as against the person
who makes them or his representative in interest, but they cannot be
proved by or on behalf of the person who makes them or by his persons
representative in interest, except in the following cases:-
(a) an admission may be proved by or on behalf of the person making
it when it is of such a nature that, if the person making it were
dead, it would be relevant as between third parties under
section 34;
(b) an admission may be proved by or on behalf of the person
making it, when it consists of a statement of the existence of any
state of mind or body, relevant or in issue made at or about
the time when such state of mind of body existed, and is
accompanied by conduct rendering its falsehood improbable; and
(c) an admission may be proved by or on behalf of the person making
it, if it is relevant otherwise than as an admission.
24. oral admissions as to the contents of a document are not relevant,
unless and until the party proposing to prove them shows that he is
entitled to give secondary evidence of the contents of such document
under the rules hereinafter contained, or unless the genuineness of a
document produced is in question.
25.-(I) In civil cases no admission is relevant if it is made either
upon an express condition that evidence of it is not to be given, or in
circumstances from which the court can infer that the parties agreed
together that evidence of it should not be given.
(2) Nothing in subsection (1) shall be taken to exempt any advocate
from giving evidence of any matter of which he may be compelled to
give evidence under section 137.
26. Admissions are not conclusive proof of the matters admitted,
but they may operate as estoppels under the provisions hereinafter
contained.
Admissions
by persons
whose
Position must
if be proved as
against party
suit
Admissions
by persons
referred to by
party to suit
Proof of
admissions
against
making them
and by or on
their behalf
Oral
admissions
as to
contents of
documents
Admissions
made without
prejudice in
civil cases
Admissions
not
conclusive
proof, but
may estop
Admission
defined
20-.(1) Statements made by a party to the proceeding or by an agent
to any such party, whom the court regards in the circumstances of .the
case as expressly or impliedly authorized by him to make them, are
admissions.
(2) Statements made by parties to suits, suing or sued in a representative
character, are not admissions unless they were made while the
party making them held that character."
CONFESSIONS does confession matters in legal cases,"Statements, etc., made to police officers.
Confessions while in police custody.
Confession caused by inducement, threat or promise, when
irrelevant in criminal proceeding.
Confession made after removal of impression caused by
inducement, threat or promise relevant.
Relevance of information received from accused m police
custody.
Confession otherwise relevant not to become irrelevant
because of promise of secrecy, etc.
Consideration of proved confession affecting person                                                                                                                                                                                                                                                                                     27. No confession made to a police officer shall be proved as against
a person accused of an offence.
28. No confession made by any person whilst he is in the custody of
a police officer, unless it be made in the immediate presence of a
magistrate as defined in the Magistrates' Courts Act, 1963 or a justice
of the peace under that Act, shall be proved as against such person.
29. No confession which is tendered in evidence shall be rejected on
the ground that a promise or threat has been held out to, the person
confessing unless the court is of the opinion that the inducement was
made in such circumstances and was of such a nature as was likely to
cause an untrue admission of guilt to: be made.
30. Where an inducement has been made to a person accused of an
offence in such circumstances and of such a nature as are referred to in
section 29 and a confession is made after the impression caused by the
inducement has, in the opinion of the court, been fully removed, the
confession is relevant and need not be rejected.
31. When any fact is deposed to as discovered in consequence of
information received from a person accused of any offence in the
custody of a police officer, so much of such information, whether it
amounts to a confession or not, as relates distinctly to the fact thereby
discovered, is relevant.
32. If such a confession is otherwise relevant, it does not become
irrelevant merely because it was made under a promise of secrecy, or
in consequence of a deception practised on the accused person for the
purpose of obtaining it, or when he was drunk, or because it was made
in answer to questions which he need not have answered, whatever
may have been the form of those questions, or because he was not
warned that he was not bound to make such confession, and that
evidence of it might be given against him.
33.-(I) When more persons than one are being tried jointly for the
same offence and a confession made by one of such persons affecting
himself and some other of such persons is proved, the Court shall not
take into consideration such confession as against such other person but
may take it into consideration only against the person who makes such
confession.
(2) In this section ''offence""' includes the abetment of, or attempt to
commit, the offence.
Statements,
etc., made to
police officers
Confessions
while in
police custody
Cap. 537
Confession
caused by
inducement,
threat or
promise
Confession
made after
removal of
impression
caused by
inducement
Relevance of
information
received from
accused in
police
custody
Confession
otherwise
relevant not
to become
irrelevant
because of
promise of
secrecy, etc.
Consideration
of proved
confession
affecting
person
making it and
others jointly
under trial
for same
offence"
"How someone can be disqualified as witness, what statement disqualify hime","34. Statements, written or oral, of relevant facts made by a person
who is dead, or who cannot be found, or who has become incapable
of giving evidence, or whose attendance cannot be procured without
an amount of delay or expense which in the circumstances of the case
appears to the court unreasonable, are themselves admissible in the
following cases:
(a) when the statement is made by a person as to the cause of his
death, or as to any of the circumstances of the transaction which
resulted in his death, in cases in which the cause of that person's
death comes into question. Such statements are admissible
whether the person who made them was or was not, at the time
when they were made, under expectation of death, and whatever
may be the nature of the proceeding in which the cause of his
death comes into, question;
(b) when the statement was made by such person m the ordinary
course of business, and in particular when it consists of an entry
or memorandum made by him in books or records kept in the
ordinary course of business or in the discharge of professional
duty; or of an acknowledgment written or signed by him of the
receipt of money, goods, securities or property of any kind; or
of a document used in commerce, written or signed by him; or
of the date of a letter or other document usually dated, written
or signed by him;
(c) when the statement is against the pecuniary or proprietary interest
of the person making it, or when, if true, it would expose him or
would have exposed him to a criminal prosecution or to a suit for
damages;
(d) when the statement gives the opinion of any such person as to -
the existence of any public right or custom or matter of public
or general interest, of the existence of which, if it existed, he
would have been likely to be aware, and when such statement
was made before any controversy as to such right, custom or
matter had arisen;
(e) when the statement relates to the existence of any relationship by
blood, marriage, or adoption between persons as to whose
relationship by blood, marriage or adoption the person making
the statement had special means of knowledge, and when the
statement was made before the question in dispute was raised;
(f) when the statement relates to the existence of any relationship by
blood, marriage or adoption between persons deceased, and is
made in any will or deed relating to the affairs of the family to
which any such deceased person belonged, or in any family
pedigree or upon any tombstone, family portrait or other thing
on which such statements are usually made, and when such
statement was made before the question in dispute was raised;
(g) when the statement is contained in any deed or other document
which relates to any such transaction as is mentioned in para- creating or
graph (a) of section 15;
Statement by
deceased
person, etc.,
whenrelating
to
cause of death
Made in the
course of
business
against the
interest of
maker
an opinion
as to public
right or
custom
relating to
existence of
relationship
relating to
family affairs
relating to a
transaction
asserting, etc.,
a custom made by (h) when the statement was made by a number of persons, and
several expressed feelings or impressions on their part relevant to the
matter in question.
persons and
expressing
feelings
35. (1) Evidence given by a witness in a judicial proceeding is
relevant for the purpose of proving, in a subsequent judicial proceeding
or in a later stage of the same judicial proceeding, the truth of the
facts which it states in the following circumstances-
(a) where the witness is dead, or cannot be found, or is incapable of
giving evidence, or is kept out of the way by the adverse party,
or where his presence cannot be obtained without an amount of
delay or expense which in the circumstances of the case the court
considers unreasonable;
and where, in the case of a subsequent proceeding-
(b) the proceeding is between the same parties or their representatives
in interest; and
(c) the adverse party in the first proceeding had the right and
opportunity to cross-examine; and
(d) the questions in issue were substantially the same in the first as
in the second proceeding.
(2) For the purposes of this section-
(a) the expression ''judicial proceeding'' shall be deemed to include
any proceeding in which evidence is taken by a person authorized
by law to take that evidence on oath;
(b) a criminal trial or inquiry shall be deemed to be a proceeding
between the prosecutor and the accused."
STATEMENTS UNDER SPECIAL CIRCUMSTANCES,"36. Entries in books of account, regularly kept in the course of
business, are relevant whenever they refer to a matter into which the
court has to inquire, but such statement shall not alone be sufficient
evidence to charge any person with liability.
Entries in
books of
account
37. An entry in any public or other official book, register or record,
stating a fact in issue or relevant fact, and made by a public servant in
the discharge of his official duty or by any other person in performance
of a duty specially enjoined by the law of the country in which such
book, register or record is kept, is itself a relevant fact.
Entries in
public
records
38. Statements of facts in issue or relevant facts, made in published
maps or charts generally offered for public sale or in maps or plans
made under the authority of Government, as to matters usually
represented or stated in such maps, charts or plans, are themselves
relevant facts.
39. When the court has to form an opinion as to the existence of
any fact of a public nature, any statement of it, made in a recital
contained in any Act, or in any law of the United Republic duly
promulgated, or in a notification of the Government appearing in the
Gazette is a relevant fact, 40. When the court has to form an opinion as to a law of any country,
any statement of such law contained in a book purporting to be printed
or published under the authority of the Government of such country
and to contain any such law, and any report of the ruling of the courts
of such country contained in a book purporting to be a report of such
rulings, are relevant.."
STATEMENTS BY PERSONS WHO CANNOT BE CALLED AS WITNESSES,"34. Statements, written or oral, of relevant facts made by a person
who is dead, or who cannot be found, or who has become incapable
of giving evidence, or whose attendance cannot be procured without
an amount of delay or expense which in the circumstances of the case
appears to the court unreasonable, are themselves admissible in the
following cases:
(a) when the statement is made by a person as to the cause of his
death, or as to any of the circumstances of the transaction which
resulted in his death, in cases in which the cause of that person's
death comes into question. Such statements are admissible
whether the person who made them was or was not, at the time
when they were made, under expectation of death, and whatever
may be the nature of the proceeding in which the cause of his
death comes into, question;
(b) when the statement was made by such person m the ordinary
course of business, and in particular when it consists of an entry
or memorandum made by him in books or records kept in the
ordinary course of business or in the discharge of professional
duty; or of an acknowledgment written or signed by him of the
receipt of money, goods, securities or property of any kind; or
of a document used in commerce, written or signed by him; or
of the date of a letter or other document usually dated, written
or signed by him;
(c) when the statement is against the pecuniary or proprietary interest
of the person making it, or when, if true, it would expose him or
would have exposed him to a criminal prosecution or to a suit for
damages;
(d) when the statement gives the opinion of any such person as to -
the existence of any public right or custom or matter of public
or general interest, of the existence of which, if it existed, he
would have been likely to be aware, and when such statement
was made before any controversy as to such right, custom or
matter had arisen;
(e) when the statement relates to the existence of any relationship by
blood, marriage, or adoption between persons as to whose
relationship by blood, marriage or adoption the person making
the statement had special means of knowledge, and when the
statement was made before the question in dispute was raised;
(f) when the statement relates to the existence of any relationship by
blood, marriage or adoption between persons deceased, and is
made in any will or deed relating to the affairs of the family to
which any such deceased person belonged, or in any family
pedigree or upon any tombstone, family portrait or other thing
on which such statements are usually made, and when such
statement was made before the question in dispute was raised;
(g) when the statement is contained in any deed or other document
which relates to any such transaction as is mentioned in para- creating or
graph (a) of section 15;(h) when the statement was made by a number of persons, and
several expressed feelings or impressions on their part relevant to the
matter in question.
persons and
expressing
feelings
35. (1) Evidence given by a witness in a judicial proceeding is
relevant for the purpose of proving, in a subsequent judicial proceeding
or in a later stage of the same judicial proceeding, the truth of the
facts which it states in the following circumstances-
(a) where the witness is dead, or cannot be found, or is incapable of
giving evidence, or is kept out of the way by the adverse party,
or where his presence cannot be obtained without an amount of
delay or expense which in the circumstances of the case the court
considers unreasonable;
and where, in the case of a subsequent proceeding-
(b) the proceeding is between the same parties or their representatives
in interest; and
(c) the adverse party in the first proceeding had the right and
opportunity to cross-examine; and
(d) the questions in issue were substantially the same in the first as
in the second proceeding.
(2) For the purposes of this section-
(a) the expression ''judicial proceeding'' shall be deemed to include
any proceeding in which evidence is taken by a person authorized
by law to take that evidence on oath;
(b) a criminal trial or inquiry shall be deemed to be a proceeding
between the prosecutor and the accused."
EXTENT TO WHICH STATEMENT IS TO BE PROVED,"41. When any statement of which evidence is given forms part of a
longer statement, or of a conversation or part of an isolated document,
or is contained in a document which forms part of a book, or of a
connected series of letters or papers, evidence shall be given of so
much and no more of the statement, conversation, document, book or
series of letters or papers as the court considers necessary in that
particular case to the full understanding of the nature and effect of the
statement, and of the circumstances in which it was made."
how to measure RELEVANCY OF JUDGMENTS,"42. The existence of any judgment, order or decree which by law
prevents any court from taking cognizance of a suit or holding a trial,
is a relevant fact when the question is whether such court ought to take
cognizance of such suit or to hold such trial.
43-(1) A final judgment, order or decree of a competent court, in
the exercise of probate, matrimonial, admiralty or insolvency jurisdiction,
which confers upon or takes away from any person any legal
character, or which declares any person to be entitled to any such
character, or to be entitled to any specific thing, not as against any
specified person but absolutely, is relevant when the existence of any
such legal character or the title of any such person to, any such thing,
is relevant.
(2) Such judgment, order or decree is conclusive proof- I
(a) that any legal character which it confers accrued at the time
when such judgment, order or decree came into operation;
(b) that any legal character to which it declares any such person to
be entitled, accrued to that person at the time when such judgment,
order or decree declares it to have accrued to that person;
(c) that any legal character which it takes away from any such person
ceased at the time from which such judgment, order or decree
declares that it had ceased or should cease; and
(d) that anything to which it declares any person to be so entitled
was the property of that person at the time from which such
judgment, order or decree declares that it had been or should
be his property.
44. Judgments, orders or decrees other than those mentioned in
section 43 are relevant if they relate to matters of a public nature
relevant to the inquiry, but such judgments, orders or decrees are not
conclusive proof of that which they state.45. Judgments, orders or decrees, other than those mentioned in
sections 42, 43 and 44, are irrelevant unless the existence of such
judgment, order or decree is a fact in issue, or is relevant under some
other provision of this Act.
46. Any party to a suit or other proceeding may show that any
judgment, order or decree which is relevant under sections 42, 43 or
44, and which has been proved by the adverse party, was delivered
by a court not competent to deliver it, or was obtained by fraud of
collusion."
